Time,WE1FT_L_CRTD,ILWT1_L_CRTD,TAL_1076_DO,SJ_2744_DO
19/10/2020 10:30:00,43.54,25.12,0,0
19/10/2020 10:30:36,43.54,25.12,0,0
19/10/2020 10:31:12,43.54,25.12,0,0
19/10/2020 10:31:48,43.54,25.12,0,0
19/10/2020 10:32:24,43.54,25.12,0,0
19/10/2020 10:33:00,43.54,25.12,0,0
19/10/2020 10:33:36,43.54,25.12,0,0
19/10/2020 10:34:12,43.54,25.12,0,0
19/10/2020 10:34:48,43.54,25.12,0,0
19/10/2020 10:35:24,43.54,25.12,0,0
19/10/2020 10:36:00,43.54,25.12,0,0
19/10/2020 10:36:36,43.54,25.12,0,0
19/10/2020 10:37:12,43.54,25.12,0,0
19/10/2020 10:37:48,43.54,25.12,0,0
19/10/2020 10:38:24,43.54,25.12,1,0
19/10/2020 10:39:00,43.54,25.12,1,0
19/10/2020 10:39:36,43.48,25.14,1,0
19/10/2020 10:40:12,43.05,25.34,1,0
19/10/2020 10:40:48,42.90,25.77,1,0
19/10/2020 10:41:24,42.90,25.77,1,0
19/10/2020 10:42:00,42.88,25.77,1,0
19/10/2020 10:42:36,42.71,25.83,1,0
19/10/2020 10:43:12,42.25,26.22,1,0
19/10/2020 10:43:48,42.25,26.41,1,0
19/10/2020 10:44:24,42.25,26.41,1,0
19/10/2020 10:45:00,42.18,26.45,1,0
19/10/2020 10:45:36,41.77,26.71,1,0
19/10/2020 10:46:12,41.60,27.08,1,0
19/10/2020 10:46:48,41.60,27.08,1,0
19/10/2020 10:47:24,41.51,27.08,1,0
19/10/2020 10:48:00,41.04,27.19,1,0
19/10/2020 10:48:36,40.96,27.72,1,0
19/10/2020 10:49:12,40.96,27.74,1,0
19/10/2020 10:49:48,40.95,27.74,1,0
19/10/2020 10:50:24,40.80,27.83,1,0
19/10/2020 10:51:00,40.30,28.25,1,0
19/10/2020 10:51:36,40.30,28.38,1,0
19/10/2020 10:52:12,40.30,28.38,1,0
19/10/2020 10:52:48,40.29,28.38,1,0
19/10/2020 10:53:24,40.11,28.52,1,0
19/10/2020 10:54:00,39.66,29.01,1,0
19/10/2020 10:54:36,39.66,29.01,0,0
19/10/2020 10:55:12,39.66,29.01,0,0
19/10/2020 10:55:48,39.66,29.01,0,0
19/10/2020 10:56:24,39.66,29.01,0,0
19/10/2020 10:57:00,39.66,29.01,0,0
19/10/2020 10:57:36,39.66,29.01,0,0
19/10/2020 10:58:12,39.66,29.01,0,0
19/10/2020 10:58:48,39.66,29.01,0,0
19/10/2020 10:59:24,39.66,29.01,0,0
19/10/2020 11:00:00,39.66,29.01,0,0
19/10/2020 11:00:36,39.66,29.01,0,0
19/10/2020 11:01:12,39.66,29.01,0,0
19/10/2020 11:01:48,39.66,29.01,0,0
19/10/2020 11:02:24,39.66,29.01,0,0
19/10/2020 11:03:00,39.66,29.01,0,0
19/10/2020 11:03:36,39.66,29.01,0,0
19/10/2020 11:04:12,39.66,29.01,0,0
19/10/2020 11:04:48,39.66,29.01,0,0
19/10/2020 11:05:24,39.66,29.01,0,0
19/10/2020 11:06:00,39.66,29.01,0,0
19/10/2020 11:06:36,39.66,29.01,0,0
19/10/2020 11:07:12,39.66,29.01,0,0
19/10/2020 11:07:48,39.66,29.01,0,0
19/10/2020 11:08:24,39.66,29.01,0,0
19/10/2020 11:09:00,39.66,29.01,0,0
19/10/2020 11:09:36,39.66,29.01,0,0
19/10/2020 11:10:12,39.66,29.01,0,0
19/10/2020 11:10:48,39.66,29.01,0,0
19/10/2020 11:11:24,39.66,29.01,1,0
19/10/2020 11:12:00,39.59,29.01,1,0
19/10/2020 11:12:36,39.31,29.20,1,0
19/10/2020 11:13:12,39.02,29.64,1,0
19/10/2020 11:13:48,39.02,29.64,1,0
19/10/2020 11:14:24,38.98,29.64,1,0
19/10/2020 11:15:00,38.74,29.70,1,0
19/10/2020 11:15:36,38.39,29.99,1,0
19/10/2020 11:16:12,38.39,30.29,1,0
19/10/2020 11:16:48,38.39,30.29,1,0
19/10/2020 11:17:24,38.39,30.29,1,0
19/10/2020 11:18:00,38.20,30.38,1,0
19/10/2020 11:18:36,37.78,30.69,1,0
19/10/2020 11:19:12,37.76,30.93,1,0
19/10/2020 11:19:48,37.76,30.93,1,0
19/10/2020 11:20:24,37.68,30.93,1,0
19/10/2020 11:21:00,37.39,31.06,1,0
19/10/2020 11:21:36,37.13,31.41,1,0
19/10/2020 11:22:12,37.13,31.56,1,0
19/10/2020 11:22:48,37.13,31.56,1,0
19/10/2020 11:23:24,37.06,31.56,1,0
19/10/2020 11:24:00,36.78,31.76,1,0
19/10/2020 11:24:36,36.49,32.15,1,0
19/10/2020 11:25:12,36.49,32.20,1,0
19/10/2020 11:25:48,36.49,32.20,1,0
19/10/2020 11:26:24,36.42,32.20,1,0
19/10/2020 11:27:00,36.14,32.36,1,0
19/10/2020 11:27:36,35.85,32.73,1,0
19/10/2020 11:28:12,35.85,32.85,1,0
19/10/2020 11:28:48,35.85,32.85,1,0
19/10/2020 11:29:24,35.75,32.85,1,0
19/10/2020 11:30:00,35.44,32.97,1,0
19/10/2020 11:30:36,35.19,33.30,1,0
19/10/2020 11:31:12,35.19,33.51,1,0
19/10/2020 11:31:48,35.19,33.51,1,0
19/10/2020 11:32:24,35.19,33.51,1,0
19/10/2020 11:33:00,35.05,33.54,1,0
19/10/2020 11:33:36,34.72,33.81,1,0
19/10/2020 11:34:12,34.55,34.16,1,0
19/10/2020 11:34:48,34.55,34.16,1,0
19/10/2020 11:35:24,34.55,34.16,1,0
19/10/2020 11:36:00,34.33,34.16,1,0
19/10/2020 11:36:36,33.97,34.35,1,0
19/10/2020 11:37:12,33.92,34.70,1,0
19/10/2020 11:37:48,33.92,34.80,1,0
19/10/2020 11:38:24,33.92,34.80,1,0
19/10/2020 11:39:00,33.92,34.80,1,0
19/10/2020 11:39:36,33.79,34.80,1,0
19/10/2020 11:40:12,33.47,34.87,1,0
19/10/2020 11:40:48,33.27,35.16,1,0
19/10/2020 11:41:24,33.27,35.43,1,0
19/10/2020 11:42:00,33.27,35.43,1,0
19/10/2020 11:42:36,33.22,35.43,1,0
19/10/2020 11:43:12,32.94,35.53,1,0
19/10/2020 11:43:48,32.64,35.84,1,0
19/10/2020 11:44:24,32.64,36.08,1,0
19/10/2020 11:45:00,32.64,36.08,1,0
19/10/2020 11:45:36,32.64,36.08,1,0
19/10/2020 11:46:12,32.49,36.08,1,0
19/10/2020 11:46:48,32.18,36.26,1,0
19/10/2020 11:47:24,32.01,36.59,1,0
19/10/2020 11:48:00,32.01,36.72,1,0
19/10/2020 11:48:36,32.01,36.72,1,0
19/10/2020 11:49:12,32.01,36.72,1,0
19/10/2020 11:49:48,31.74,36.72,1,0
19/10/2020 11:50:24,31.40,36.89,1,0
19/10/2020 11:51:00,31.38,37.22,1,0
19/10/2020 11:51:36,31.38,37.37,1,0
19/10/2020 11:52:12,31.38,37.37,1,0
19/10/2020 11:52:48,31.38,37.37,1,0
19/10/2020 11:53:24,31.09,37.37,1,0
19/10/2020 11:54:00,30.74,37.61,1,0
19/10/2020 11:54:36,30.70,37.93,1,0
19/10/2020 11:55:12,30.70,38.00,1,0
19/10/2020 11:55:48,30.70,38.00,1,0
19/10/2020 11:56:24,30.70,38.00,1,0
19/10/2020 11:57:00,30.47,38.00,1,0
19/10/2020 11:57:36,30.15,38.14,1,0
19/10/2020 11:58:12,30.05,38.47,1,0
19/10/2020 11:58:48,30.05,38.65,1,0
19/10/2020 11:59:24,30.05,38.65,1,0
19/10/2020 12:00:00,30.05,38.65,1,0
19/10/2020 12:00:36,29.91,38.65,1,0
19/10/2020 12:01:12,29.59,38.76,1,0
19/10/2020 12:01:48,29.41,39.09,1,0
19/10/2020 12:02:24,29.41,39.30,1,0
19/10/2020 12:03:00,29.41,39.30,1,0
19/10/2020 12:03:36,29.41,39.30,1,0
19/10/2020 12:04:12,29.41,39.30,1,0
19/10/2020 12:04:48,29.09,39.30,1,0
19/10/2020 12:05:24,28.79,39.54,1,0
19/10/2020 12:06:00,28.77,39.85,1,0
19/10/2020 12:06:36,28.77,39.94,1,0
19/10/2020 12:07:12,28.77,39.94,1,0
19/10/2020 12:07:48,28.77,39.94,1,0
19/10/2020 12:08:24,28.51,39.94,1,0
19/10/2020 12:09:00,28.21,39.95,1,0
19/10/2020 12:09:36,28.14,40.29,1,0
19/10/2020 12:10:12,28.14,40.57,1,0
19/10/2020 12:10:48,28.14,40.57,1,0
19/10/2020 12:11:24,28.14,40.57,1,0
19/10/2020 12:12:00,27.97,40.57,1,0
19/10/2020 12:12:36,27.65,40.57,1,0
19/10/2020 12:13:12,27.51,40.57,1,0
19/10/2020 12:13:48,27.51,40.57,1,0
19/10/2020 12:14:24,27.51,40.93,1,0
19/10/2020 12:15:00,27.51,41.20,1,0
19/10/2020 12:15:36,27.51,41.20,1,0
19/10/2020 12:16:12,27.51,41.20,1,0
19/10/2020 12:16:48,27.51,41.20,1,0
19/10/2020 12:17:24,27.51,41.20,1,0
19/10/2020 12:18:00,27.33,41.20,1,0
19/10/2020 12:18:36,27.01,41.36,1,0
19/10/2020 12:19:12,26.88,41.69,1,0
19/10/2020 12:19:48,26.88,41.84,1,0
19/10/2020 12:20:24,26.88,41.84,1,0
19/10/2020 12:21:00,26.88,41.84,1,0
19/10/2020 12:21:36,26.73,41.84,1,0
19/10/2020 12:22:12,26.39,41.84,1,0
